,Importance
Earthquake,0.22746357896830208
River Flood,0.34541963823207394
Tsunami,0.11282700302162467
Tropical Cyclone,0.06402701925319902
Coastal flood,0.09236878641095653
Drought,0.17498252262333985
Epidemic,0.22285192080060318
Projected Conflict Risk,0.6949019164464447
Current Highly Violent Conflict Intensity,0.4903199709874587
