,Earthquake,River Flood,Tsunami,Tropical Cyclone,Coastal flood,Drought,Epidemic,Projected Conflict Risk,Current Highly Violent Conflict Intensity
Earthquake,1.0,0.13729978643903085,0.39210686717637366,0.3349074779828941,0.13541974344713054,0.03240532551517561,0.0863694550234568,0.16996745908788657,0.05090161342450758
River Flood,0.13729978643903085,1.0,-0.035845900851170925,-0.11528421971993495,0.20315302747509265,0.17697309042017234,0.22948404132845335,0.43421326601060756,0.26911612507553545
Tsunami,0.39210686717637366,-0.035845900851170925,1.0,0.3958501364507805,0.5140094576670721,-0.06668664770378768,0.02162879280982477,0.07391799304060569,-0.06269676190721848
Tropical Cyclone,0.3349074779828941,-0.11528421971993495,0.3958501364507805,1.0,0.3281668922418419,-0.15538712186646114,0.0762072852166282,0.027713423232283495,-0.01205058093473195
Coastal flood,0.13541974344713054,0.20315302747509265,0.5140094576670721,0.3281668922418419,1.0,-0.10746164245383717,-0.0762074671789366,0.058013508815525555,-0.05073848640335658
Drought,0.03240532551517561,0.17697309042017234,-0.06668664770378768,-0.15538712186646114,-0.10746164245383717,1.0,0.2697747519722569,0.3140039026538842,0.29829281113182954
Epidemic,0.0863694550234568,0.22948404132845335,0.02162879280982477,0.0762072852166282,-0.0762074671789366,0.2697747519722569,1.0,0.5540706146684545,0.45327543820016025
Projected Conflict Risk,0.16996745908788657,0.43421326601060756,0.07391799304060569,0.027713423232283495,0.058013508815525555,0.3140039026538842,0.5540706146684545,1.0,0.6862379174434731
Current Highly Violent Conflict Intensity,0.05090161342450758,0.26911612507553545,-0.06269676190721848,-0.01205058093473195,-0.05073848640335658,0.29829281113182954,0.45327543820016025,0.6862379174434731,1.0
